model_name,aic,aicc,bic,sse,optimized,status,error
holt_winters_multiplicative,-1202.3664401157275,-1200.9502910474046,-1134.8688382006599,42.93566483215885,True,success,
holt_winters_additive,-1147.7172903018845,-1146.3011412335616,-1080.2196883868169,47.87367049899786,True,success,
holt_damped_trend,-156.97309517399913,-156.74637452622585,-135.88009457554048,359.95693246553213,True,success,
holt_linear_trend,-88.14053969306222,-87.97084272336525,-71.26613921429531,414.505026177678,True,success,
simple_exponential_smoothing,177.05106658132698,177.1315494787113,185.48826682071044,708.6227942303321,True,success,
