cluster,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0,12.2509,1.8974,2.2312,20.0631,92.7385,2.2477,2.05,0.3577,1.6242,2.9731,1.0627,2.8034,510.1692
1,13.1341,3.3073,2.4176,21.2412,98.6667,1.6839,0.8188,0.452,1.1459,7.2347,0.692,1.6967,619.0588
2,13.6768,1.9979,2.4663,17.4629,107.9677,2.8476,3.0032,0.2921,1.9221,5.4535,1.0655,3.1634,1100.2258
