user_id,training_interactions,total_training_weight,held_out_item_id,held_out_interaction_type
101,5,10.0,5,liked
102,8,17.0,6,completed
103,6,13.0,27,liked
104,8,16.0,22,liked
105,6,13.0,17,liked
106,5,10.0,5,completed
107,6,11.0,17,liked
108,5,9.0,22,liked
109,8,14.0,27,liked
110,5,6.0,28,completed
111,7,15.0,24,completed
112,7,17.0,21,completed
