order,seasonal_order,p,d,q,P,D,Q,seasonal_period,aic,bic,hqic,log_likelihood,converged,status,error
"(1, 1, 1)","(1, 1, 1, 12)",1,1,1,1,1,1,12,208.15499219819927,228.97156621837246,216.34113970170125,-99.07749609909963,True,success,
"(1, 1, 1)","(0, 1, 1, 12)",1,1,1,0,1,1,12,220.23386317765272,236.8871223937913,226.7827811804543,-106.11693158882636,True,success,
"(0, 1, 1)","(0, 1, 1, 12)",0,1,1,0,1,1,12,220.9021125716249,233.39205698372882,225.8138010737261,-107.45105628581246,True,success,
"(0, 1, 2)","(0, 1, 1, 12)",0,1,2,0,1,1,12,221.52097195437094,238.16580124115126,228.06715397135355,-106.76048597718547,True,success,
"(2, 1, 0)","(0, 1, 1, 12)",2,1,0,0,1,1,12,227.85079043698087,244.51246185390656,234.4024377392496,-109.92539521849044,True,success,
"(1, 1, 0)","(0, 1, 1, 12)",1,1,0,0,1,1,12,229.77298084868775,242.269234411382,234.68671632538928,-111.88649042434388,True,success,
"(2, 1, 1)","(1, 1, 0, 12)",2,1,1,1,1,0,12,347.4757899427963,368.29236396296955,355.6619374462983,-168.73789497139816,True,success,
"(1, 1, 1)","(1, 1, 0, 12)",1,1,1,1,1,0,12,347.81857399192336,364.48024540884904,354.3702212941921,-169.90928699596168,True,success,
