,count,mean,std,min,median,max
normal,36,-0.08327050623326064,0.02573746442487243,-0.12453527306389428,-0.08435336295243576,-0.023863289070887972
anomaly,12,0.08727070175237757,0.01966843083808279,0.050218892399272574,0.08491685931911958,0.11348772898463999
