p,d,q,order,aic,bic,hqic,log_likelihood,converged,status,error
2,1,1,"(2, 1, 1)",998.8189397765626,1015.6693641595687,1005.4315835290737,-495.4094698882813,True,success,
2,1,2,"(2, 1, 2)",998.8206733464378,1019.8736737315611,1007.0832485668153,-494.4103366732189,True,success,
2,1,0,"(2, 1, 0)",1118.2328005317286,1130.870618818983,1123.192283346112,-556.1164002658643,True,success,
1,1,2,"(1, 1, 2)",1132.7269296158263,1149.569329923925,1139.3369897921282,-562.3634648079131,True,success,
0,1,2,"(0, 1, 2)",1160.1937226553443,1172.8255228864184,1165.1512677875708,-577.0968613276722,True,success,
1,1,1,"(1, 1, 1)",1185.5289631434673,1198.1667814307218,1190.4884459578507,-589.7644815717337,True,success,
1,1,0,"(1, 1, 0)",1250.0833738385804,1258.5125900354249,1253.3909845009834,-623.0416869192902,True,success,
0,1,1,"(0, 1, 1)",1296.4092343332945,1304.8344465247976,1299.7155562095502,-646.2046171666473,True,success,
